           km_, km_check_num,   km_namen, km_rank_under, km_rank_top,    km_link, 
1335 :          @,          0,       2549,          0,        106,         -1, 
1336 :          @,          0,       2550,        106,        120,         -1, 
1337 :          @,          0,       2551,        120,        999,         -1, 
1338 : mons_MC3020_100_clr2_NM_008,         14,       2275,          0,        999,         -1, 
1339 :          @,          0,       2281,          0,        999,         -1, 
1340 :          @,          0,       2549,          0,        106,         -1, 
1341 :          @,          0,       2550,        106,        120,         -1, 
1342 :          @,          0,       2551,        120,        999,         -1, 
1343 :          @,          0,       2534,          0,         84,         -1, 
1344 :          @,          0,       2535,         84,         99,         -1, 
1345 :          @,          0,       2536,         99,        999,         -1, 
1346 :          @,          0,       2543,          0,        106,         -1, 
1347 :          @,          0,       2544,        106,        120,         -1, 
1348 :          @,          0,       2545,        120,        999,         -1, 
1349 :          @,          0,       2525,          0,         40,         -1, 
1350 :          @,          0,       2526,         40,         54,         -1, 
1351 :          @,          0,       2527,         54,        999,         -1, 
1352 : mons_MD0010_100_clr0_00,          3,       2282,          5,         20,         -1, 
1353 :          @,          0,       2283,         20,         34,         -1, 
1354 :          @,          0,       2284,         34,        999,         -1, 
1355 : mons_MD0010_100_clr0_NM_001,          5,       2283,          0,         34,         -1, 
1356 :          @,          0,       2284,         34,        999,         -1, 
1357 :          @,          0,       2510,          0,         59,         -1, 
1358 :          @,          0,       2511,         59,         73,         -1, 
1359 :          @,          0,       2512,         73,        999,         -1, 
1360 : mons_MD0010_100_clr0_NM_002,          4,       2284,          0,        999,         -1, 
1361 :          @,          0,       2510,          0,         59,         -1, 
1362 :          @,          0,       2511,         59,         73,         -1, 
1363 :          @,          0,       2512,         73,        999,         -1, 
1364 : mons_MD0010_100_clr1_00,          6,       2282,          5,         20,         -1, 
1365 :          @,          0,       2283,         20,         34,         -1, 
1366 :          @,          0,       2284,         34,        999,         -1, 
1367 :          @,          0,       2288,         20,         46,         -1, 
1368 :          @,          0,       2289,         46,         61,         -1, 
1369 :          @,          0,       2290,         61,        999,         -1, 
1370 : mons_MD0010_100_clr1_NM_003,          6,       2284,          0,        999,         -1, 
1371 :          @,          0,       2289,          0,         61,         -1, 
1372 :          @,          0,       2290,         61,        999,         -1, 
1373 :          @,          0,       2510,          0,         59,         -1, 
1374 :          @,          0,       2511,         59,         73,         -1, 
1375 :          @,          0,       2512,         73,        999,         -1, 
1376 : mons_MD0010_100_clr1_NM_004,          5,       2284,          0,        999,         -1, 
1377 :          @,          0,       2290,          0,        999,         -1, 
1378 :          @,          0,       2510,          0,         59,         -1, 
1379 :          @,          0,       2511,         59,         73,         -1, 
1380 :          @,          0,       2512,         73,        999,         -1, 
1381 : mons_MD0010_100_clr1_NM_005,          2,       2289,          0,         61,         -1, 
